id,label
test_0,0.5
test_1,0.5
test_2,0.5
test_3,0.5
test_4,0.5
test_5,0.5
test_6,0.5
test_7,0.5
test_8,0.5
test_9,0.5
test_10,0.5
test_11,0.5
test_12,0.5
test_13,0.5
test_14,0.5
test_15,0.5
test_16,0.5
test_17,0.5
test_18,0.5
test_19,0.5
test_20,0.5
test_21,0.5
test_22,0.5
test_23,0.5
test_24,0.5
test_25,0.5
test_26,0.5
test_27,0.5
test_28,0.5
test_29,0.5
test_30,0.5
test_31,0.5
test_32,0.5
test_33,0.5
test_34,0.5
test_35,0.5
test_36,0.5
test_37,0.5
test_38,0.5
test_39,0.5
test_40,0.5
test_41,0.5
test_42,0.5
test_43,0.5
test_44,0.5
test_45,0.5
test_46,0.5
test_47,0.5
test_48,0.5
test_49,0.5
test_50,0.5
test_51,0.5
test_52,0.5
test_53,0.5
test_54,0.5
test_55,0.5
test_56,0.5
test_57,0.5
test_58,0.5
test_59,0.5
test_60,0.5
test_61,0.5
test_62,0.5
test_63,0.5
test_64,0.5
test_65,0.5
test_66,0.5
test_67,0.5
test_68,0.5
test_69,0.5
test_70,0.5
test_71,0.5
test_72,0.5
test_73,0.5
test_74,0.5
test_75,0.5
test_76,0.5
test_77,0.5
test_78,0.5
test_79,0.5
test_80,0.5
test_81,0.5
test_82,0.5
test_83,0.5
test_84,0.5
test_85,0.5
test_86,0.5
test_87,0.5
test_88,0.5
test_89,0.5
test_90,0.5
test_91,0.5
test_92,0.5
test_93,0.5
test_94,0.5
test_95,0.5
test_96,0.5
test_97,0.5
test_98,0.5
test_99,0.5
test_100,0.5
test_101,0.5
test_102,0.5
test_103,0.5
test_104,0.5
test_105,0.5
test_106,0.5
test_107,0.5
test_108,0.5
test_109,0.5
test_110,0.5
test_111,0.5
test_112,0.5
test_113,0.5
test_114,0.5
test_115,0.5
test_116,0.5
test_117,0.5
test_118,0.5
test_119,0.5
test_120,0.5
test_121,0.5
test_122,0.5
test_123,0.5
test_124,0.5
test_125,0.5
test_126,0.5
test_127,0.5
test_128,0.5
test_129,0.5
test_130,0.5
test_131,0.5
test_132,0.5
test_133,0.5
test_134,0.5
test_135,0.5
test_136,0.5
test_137,0.5
test_138,0.5
test_139,0.5
test_140,0.5
test_141,0.5
test_142,0.5
test_143,0.5
test_144,0.5
test_145,0.5
test_146,0.5
test_147,0.5
test_148,0.5
test_149,0.5
test_150,0.5
test_151,0.5
test_152,0.5
test_153,0.5
test_154,0.5
test_155,0.5
test_156,0.5
test_157,0.5
test_158,0.5
test_159,0.5
test_160,0.5
test_161,0.5
test_162,0.5
test_163,0.5
test_164,0.5
test_165,0.5
test_166,0.5
test_167,0.5
test_168,0.5
test_169,0.5
test_170,0.5
test_171,0.5
test_172,0.5
test_173,0.5
test_174,0.5
test_175,0.5
test_176,0.5
test_177,0.5
test_178,0.5
test_179,0.5
test_180,0.5
test_181,0.5
test_182,0.5
test_183,0.5
test_184,0.5
test_185,0.5
test_186,0.5
test_187,0.5
test_188,0.5
test_189,0.5
test_190,0.5
test_191,0.5
test_192,0.5
test_193,0.5
test_194,0.5
test_195,0.5
test_196,0.5
test_197,0.5
test_198,0.5
test_199,0.5
test_200,0.5
test_201,0.5
test_202,0.5
test_203,0.5
test_204,0.5
test_205,0.5
test_206,0.5
test_207,0.5
test_208,0.5
test_209,0.5
test_210,0.5
test_211,0.5
test_212,0.5
test_213,0.5
test_214,0.5
test_215,0.5
test_216,0.5
test_217,0.5
test_218,0.5
test_219,0.5
test_220,0.5
test_221,0.5
test_222,0.5
test_223,0.5
test_224,0.5
test_225,0.5
test_226,0.5
test_227,0.5
test_228,0.5
test_229,0.5
test_230,0.5
test_231,0.5
test_232,0.5
test_233,0.5
test_234,0.5
test_235,0.5
test_236,0.5
test_237,0.5
test_238,0.5
test_239,0.5
test_240,0.5
test_241,0.5
test_242,0.5
test_243,0.5
test_244,0.5
test_245,0.5
test_246,0.5
test_247,0.5
test_248,0.5
test_249,0.5
test_250,0.5
test_251,0.5
test_252,0.5
test_253,0.5
test_254,0.5
test_255,0.5
test_256,0.5
test_257,0.5
test_258,0.5
test_259,0.5
test_260,0.5
test_261,0.5
test_262,0.5
test_263,0.5
test_264,0.5
test_265,0.5
test_266,0.5
test_267,0.5
test_268,0.5
test_269,0.5
test_270,0.5
test_271,0.5
test_272,0.5
test_273,0.5
test_274,0.5
test_275,0.5
test_276,0.5
test_277,0.5
test_278,0.5
test_279,0.5
test_280,0.5
test_281,0.5
test_282,0.5
test_283,0.5
test_284,0.5
test_285,0.5
test_286,0.5
test_287,0.5
test_288,0.5
test_289,0.5
test_290,0.5
test_291,0.5
test_292,0.5
test_293,0.5
test_294,0.5
test_295,0.5
test_296,0.5
test_297,0.5
test_298,0.5
test_299,0.5
test_300,0.5
test_301,0.5
test_302,0.5
test_303,0.5
test_304,0.5
test_305,0.5
test_306,0.5
test_307,0.5
test_308,0.5
test_309,0.5
test_310,0.5
test_311,0.5
test_312,0.5
test_313,0.5
test_314,0.5
test_315,0.5
test_316,0.5
test_317,0.5
test_318,0.5
test_319,0.5
test_320,0.5
test_321,0.5
test_322,0.5
test_323,0.5
test_324,0.5
test_325,0.5
test_326,0.5
test_327,0.5
test_328,0.5
test_329,0.5
test_330,0.5
test_331,0.5
test_332,0.5
test_333,0.5
test_334,0.5
test_335,0.5
test_336,0.5
test_337,0.5
test_338,0.5
test_339,0.5
test_340,0.5
test_341,0.5
test_342,0.5
test_343,0.5
test_344,0.5
test_345,0.5
test_346,0.5
test_347,0.5
test_348,0.5
test_349,0.5
test_350,0.5
test_351,0.5
test_352,0.5
test_353,0.5
test_354,0.5
test_355,0.5
test_356,0.5
test_357,0.5
test_358,0.5
test_359,0.5
test_360,0.5
test_361,0.5
test_362,0.5
test_363,0.5
test_364,0.5
test_365,0.5
test_366,0.5
test_367,0.5
test_368,0.5
test_369,0.5
test_370,0.5
test_371,0.5
test_372,0.5
test_373,0.5
test_374,0.5
test_375,0.5
test_376,0.5
test_377,0.5
test_378,0.5
test_379,0.5
test_380,0.5
test_381,0.5
test_382,0.5
test_383,0.5
test_384,0.5
test_385,0.5
test_386,0.5
test_387,0.5
test_388,0.5
test_389,0.5
test_390,0.5
test_391,0.5
test_392,0.5
test_393,0.5
test_394,0.5
test_395,0.5
test_396,0.5
test_397,0.5
test_398,0.5
test_399,0.5
test_400,0.5
test_401,0.5
test_402,0.5
test_403,0.5
test_404,0.5
test_405,0.5
test_406,0.5
test_407,0.5
test_408,0.5
test_409,0.5
test_410,0.5
test_411,0.5
test_412,0.5
test_413,0.5
test_414,0.5
test_415,0.5
test_416,0.5
test_417,0.5
test_418,0.5
test_419,0.5
test_420,0.5
test_421,0.5
test_422,0.5
test_423,0.5
test_424,0.5
test_425,0.5
test_426,0.5
test_427,0.5
test_428,0.5
test_429,0.5
test_430,0.5
test_431,0.5
test_432,0.5
test_433,0.5
test_434,0.5
test_435,0.5
test_436,0.5
test_437,0.5
test_438,0.5
test_439,0.5
test_440,0.5
test_441,0.5
test_442,0.5
test_443,0.5
test_444,0.5
test_445,0.5
test_446,0.5
test_447,0.5
test_448,0.5
test_449,0.5
test_450,0.5
test_451,0.5
test_452,0.5
test_453,0.5
test_454,0.5
test_455,0.5
test_456,0.5
test_457,0.5
test_458,0.5
test_459,0.5
test_460,0.5
test_461,0.5
test_462,0.5
test_463,0.5
test_464,0.5
test_465,0.5
test_466,0.5
test_467,0.5
test_468,0.5
test_469,0.5
test_470,0.5
test_471,0.5
test_472,0.5
test_473,0.5
test_474,0.5
test_475,0.5
test_476,0.5
test_477,0.5
test_478,0.5
test_479,0.5
test_480,0.5
test_481,0.5
test_482,0.5
test_483,0.5
test_484,0.5
test_485,0.5
test_486,0.5
test_487,0.5
test_488,0.5
test_489,0.5
test_490,0.5
test_491,0.5
test_492,0.5
test_493,0.5
test_494,0.5
test_495,0.5
test_496,0.5
test_497,0.5
test_498,0.5
test_499,0.5
test_500,0.5
test_501,0.5
test_502,0.5
test_503,0.5
test_504,0.5
test_505,0.5
test_506,0.5
test_507,0.5
test_508,0.5
test_509,0.5
test_510,0.5
